Id,Credit Score,Income,Employment Status,Debt-to-Income Ratio,Loan Amount,Loan Purpose,Marital Status,Number of Dependents,Residence Status,Previous Loan History,Bank Account Balance,Education Level,Existing Loan Balance,Maximum Loan Limit,Loan Approval Status
3834,669,40769,Employed,0.278,47408,Personal Expenses,Single,0,Owner,No Previous Loan,25974,High School,0.0,17046,0
3835,796,56675,Employed,0.1,3803,Education,Married,1,Owner,Paid in Full,3535,Bachelor,0.0,28195,1
3836,656,0,Unemployed,0.383,27804,Personal Expenses,Married,1,Owner,No Previous Loan,7999,Bachelor,0.0,0,0
3837,609,159304,Employed,0.25,33980,Personal Expenses,Married,1,Renter,Defaulted,4870,Bachelor,13079.040889482658,47556,1
3838,748,0,Unemployed,0.252,3904,Personal Expenses,Single,1,Living with Parents,Paid in Full,17427,Master or above,455.3433503119207,0,0
3839,656,64183,Employed,0.1,26776,Education,Married,3,Renter,Paid in Full,13179,High School,0.0,26315,1
3840,800,59452,Employed,0.279,36745,Home Purchase,Married,1,Renter,Paid in Full,2324,Bachelor,0.0,29726,1
3841,749,56579,Employed,0.251,5803,Personal Expenses,Single,0,Renter,No Previous Loan,22001,High School,0.0,26486,1
3842,669,56828,Employed,0.362,11842,Home Purchase,Single,3,Renter,Defaulted,17940,Bachelor,23748.524467141448,12,0
3843,674,56616,Employed,0.169,18072,Education,Married,1,Living with Parents,No Previous Loan,3416,High School,0.0,23849,0
3844,645,92840,Employed,0.101,26536,Personal Expenses,Married,2,Renter,Paid in Full,27642,High School,0.0,37426,1
3845,800,81356,Employed,0.132,5582,Car Purchase,Married,4,Owner,No Previous Loan,5907,Bachelor,0.0,40678,1
3846,599,0,Unemployed,0.15,47705,Home Purchase,Single,1,Renter,Paid in Full,3095,Bachelor,0.0,0,0
3847,772,13162,Employed,0.1,1971,Car Purchase,Single,1,Living with Parents,No Previous Loan,15361,Master or above,0.0,6350,1
3848,551,69702,Self-employed,0.329,56362,Personal Expenses,Single,2,Renter,No Previous Loan,25107,High School,0.0,24003,0
3849,800,26220,Employed,0.333,26005,Personal Expenses,Divorced,1,Renter,No Previous Loan,24108,Bachelor,0.0,13110,1
3850,714,82889,Employed,0.18,8054,Personal Expenses,Married,1,Renter,Defaulted,1869,Bachelor,329518.4078429485,0,1
3851,639,125410,Employed,0.161,35603,Personal Expenses,Married,3,Renter,No Previous Loan,28270,Bachelor,0.0,50085,1
3852,594,37759,Employed,0.1,5260,Home Purchase,Single,3,Living with Parents,No Previous Loan,71589,High School,0.0,14018,0
3853,548,0,Unemployed,0.27,16827,Home Purchase,Married,1,Renter,No Previous Loan,2224,Master or above,0.0,0,0
3854,588,44463,Employed,0.365,19040,Car Purchase,Single,2,Renter,Defaulted,15904,Master or above,36545.451043036985,0,0
3855,758,111281,Employed,0.136,18995,Home Purchase,Married,2,Renter,Paid in Full,9845,Master or above,0.0,52719,1
3856,703,62919,Employed,0.188,6477,Car Purchase,Married,3,Living with Parents,No Previous Loan,17791,Bachelor,0.0,27645,1
3857,593,142381,Employed,0.243,9133,Home Purchase,Single,1,Renter,Defaulted,5642,Bachelor,5984.562300810383,46785,1
3858,654,73789,Employed,0.372,17026,Education,Single,0,Renter,Paid in Full,10783,Bachelor,0.0,30161,1
3859,694,67732,Self-employed,0.22,7252,Home Purchase,Single,2,Renter,Paid in Full,12655,Bachelor,0.0,29378,1
3860,634,62081,Self-employed,0.22,19678,Home Purchase,Single,2,Renter,No Previous Loan,3640,High School,0.0,24599,0
3861,800,90318,Employed,0.218,8116,Personal Expenses,Married,3,Renter,No Previous Loan,27440,Master or above,0.0,45159,1
3862,603,25166,Employed,0.1,40774,Home Purchase,Single,3,Renter,Paid in Full,5315,Bachelor,1972.4318712086344,7512,0
3863,800,62615,Employed,0.1,71574,Home Purchase,Married,1,Renter,No Previous Loan,18219,High School,0.0,31307,1
3864,684,57934,Employed,0.119,11140,Home Purchase,Married,1,Owner,No Previous Loan,18106,Bachelor,0.0,24766,1
3865,438,86233,Employed,0.301,37649,Personal Expenses,Married,2,Living with Parents,Defaulted,19523,Bachelor,1112.622401989516,22493,1
3866,704,54625,Employed,0.166,12130,Education,Married,3,Renter,Paid in Full,3959,High School,0.0,24035,1
3867,800,35693,Employed,0.147,5880,Education,Married,2,Renter,No Previous Loan,53561,High School,0.0,17846,1
3868,795,60220,Employed,0.145,9799,Home Purchase,Single,1,Renter,No Previous Loan,2075,High School,0.0,29921,1
3869,684,34915,Employed,0.186,16340,Car Purchase,Single,3,Living with Parents,No Previous Loan,3220,High School,0.0,14926,1
3870,780,22913,Employed,0.37,2512,Home Purchase,Married,1,Owner,No Previous Loan,3370,High School,0.0,11170,1
3871,800,86306,Employed,0.185,28042,Car Purchase,Single,1,Renter,Paid in Full,48692,High School,0.0,43153,1
3872,618,80148,Employed,0.121,16347,Education,Married,2,Renter,Defaulted,26183,High School,10302.913659711088,20654,1
3873,650,75784,Self-employed,0.203,40796,Personal Expenses,Single,2,Living with Parents,No Previous Loan,7909,Master or above,0.0,30787,0
3874,549,115100,Employed,0.376,27555,Home Purchase,Married,4,Renter,No Previous Loan,21450,Master or above,0.0,39493,1
3875,615,43027,Employed,0.15,16911,Personal Expenses,Married,1,Owner,No Previous Loan,21941,Bachelor,0.0,16538,0
3876,712,29335,Employed,0.1,10508,Home Purchase,Married,3,Renter,Paid in Full,3888,Bachelor,636.2060843709256,12417,1
3877,562,57935,Self-employed,0.15,68779,Car Purchase,Married,3,Owner,No Previous Loan,3037,Master or above,0.0,20349,0
3878,643,50430,Employed,0.213,131357,Home Purchase,Single,1,Renter,Paid in Full,25082,Bachelor,0.0,20266,0
3879,725,39377,Employed,0.269,10685,Personal Expenses,Married,1,Renter,No Previous Loan,4995,Bachelor,0.0,17842,1
3880,800,57651,Employed,0.301,42535,Home Purchase,Single,0,Owner,No Previous Loan,18661,Bachelor,0.0,28825,1
3881,620,44191,Self-employed,0.1,7398,Education,Divorced,0,Owner,Defaulted,2893,Bachelor,10122.543583476976,7001,0
3882,532,0,Unemployed,0.105,8334,Home Purchase,Married,2,Living with Parents,No Previous Loan,4768,High School,0.0,0,0
3883,706,48122,Employed,0.168,10194,Car Purchase,Single,0,Living with Parents,No Previous Loan,8852,Bachelor,0.0,21233,1
3884,642,33993,Self-employed,0.268,29747,Car Purchase,Married,1,Renter,Paid in Full,89658,High School,0.0,13639,0
3885,502,0,Unemployed,0.1,5119,Home Purchase,Single,1,Renter,Paid in Full,5970,Bachelor,0.0,0,0
3886,566,0,Unemployed,0.139,70669,Personal Expenses,Single,0,Renter,No Previous Loan,13599,High School,0.0,0,0
3887,545,104601,Employed,0.141,38318,Personal Expenses,Married,2,Renter,Defaulted,9015,Bachelor,35877.35705814085,0,0
3888,580,133790,Employed,0.294,29065,Home Purchase,Married,4,Renter,No Previous Loan,1841,Master or above,0.0,48498,1
3889,800,84270,Employed,0.253,11181,Education,Married,2,Renter,No Previous Loan,10081,Bachelor,0.0,42135,1
3890,750,27628,Self-employed,0.29,34382,Car Purchase,Married,2,Owner,No Previous Loan,9846,Bachelor,0.0,12950,1
3891,623,127350,Employed,0.334,811,Personal Expenses,Single,0,Owner,No Previous Loan,20828,High School,0.0,49586,1
3892,776,131921,Employed,0.169,23311,Education,Single,2,Owner,No Previous Loan,2142,Bachelor,0.0,63981,1
3893,716,60566,Employed,0.1,17604,Home Purchase,Single,0,Owner,No Previous Loan,7746,Bachelor,0.0,27103,1
3894,799,116257,Self-employed,0.1,2274,Personal Expenses,Single,1,Renter,Paid in Full,15148,Master or above,0.0,58055,1
3895,800,45536,Self-employed,0.1,22517,Home Purchase,Married,1,Renter,Paid in Full,20612,Master or above,0.0,22768,1
3896,633,23599,Employed,0.154,27083,Home Purchase,Married,2,Owner,Paid in Full,38083,Bachelor,0.0,9336,0
3897,652,41025,Self-employed,0.162,2349,Personal Expenses,Married,1,Renter,No Previous Loan,17642,Bachelor,0.0,16717,0
3898,590,142450,Employed,0.279,4578,Home Purchase,Single,1,Renter,No Previous Loan,4590,Master or above,0.0,52528,1
3899,406,28468,Self-employed,0.202,118207,Home Purchase,Single,2,Owner,Defaulted,10314,High School,1108.6935079463246,6115,0
3900,800,59985,Employed,0.151,12449,Car Purchase,Single,0,Owner,No Previous Loan,4868,Master or above,0.0,29992,1
3901,671,61033,Employed,0.188,39792,Personal Expenses,Married,2,Renter,No Previous Loan,14278,Bachelor,0.0,25595,1
3902,693,0,Unemployed,0.1,46286,Home Purchase,Single,1,Owner,No Previous Loan,4829,High School,0.0,0,0
3903,661,48066,Employed,0.303,22242,Car Purchase,Single,1,Renter,Paid in Full,25914,Master or above,469.24801297353764,19388,0
3904,727,62207,Self-employed,0.121,41483,Home Purchase,Single,2,Owner,No Previous Loan,5435,Master or above,0.0,28265,1
3905,658,45298,Employed,0.1,1813,Car Purchase,Married,1,Living with Parents,No Previous Loan,4329,Master or above,0.0,18628,0
3906,694,29468,Employed,0.282,11911,Personal Expenses,Single,0,Owner,No Previous Loan,9792,Master or above,0.0,12781,1
3907,735,66810,Employed,0.257,688,Car Purchase,Single,0,Renter,Paid in Full,8531,High School,0.0,30690,1
3908,800,102619,Employed,0.1,2616,Personal Expenses,Married,4,Renter,Paid in Full,10324,Bachelor,0.0,51309,1
3909,595,92677,Employed,0.286,8688,Education,Married,2,Renter,No Previous Loan,3559,Master or above,0.0,34464,1
3910,727,40023,Employed,0.126,7711,Car Purchase,Single,3,Owner,No Previous Loan,3979,Bachelor,0.0,18185,1
3911,800,32095,Employed,0.163,15634,Car Purchase,Single,3,Owner,No Previous Loan,3152,Master or above,0.0,16047,1
3912,671,52052,Employed,0.219,14693,Personal Expenses,Single,1,Renter,No Previous Loan,23165,High School,0.0,21829,0
3913,300,0,Unemployed,0.259,17146,Education,Single,2,Renter,Defaulted,11798,Bachelor,98201.26744138998,0,0
3914,611,0,Unemployed,0.245,17863,Personal Expenses,Single,4,Renter,Paid in Full,35191,High School,0.0,0,0
3915,465,85313,Employed,0.195,20925,Personal Expenses,Single,0,Renter,No Previous Loan,7596,Bachelor,0.0,24794,1
3916,499,93622,Self-employed,0.158,5748,Personal Expenses,Single,0,Renter,Defaulted,15088,High School,11601.846697417768,17596,0
3917,728,74049,Employed,0.241,7266,Personal Expenses,Married,1,Renter,No Previous Loan,3263,Bachelor,0.0,33692,1
3918,613,63729,Employed,0.188,14456,Education,Single,1,Renter,No Previous Loan,13824,High School,0.0,24416,1
3919,698,83554,Self-employed,0.381,14683,Home Purchase,Single,2,Renter,No Previous Loan,3748,Bachelor,0.0,36450,1
3920,534,0,Unemployed,0.259,5084,Education,Single,1,Renter,No Previous Loan,12917,Bachelor,0.0,0,0
3921,800,29580,Employed,0.108,44239,Home Purchase,Divorced,3,Owner,Paid in Full,13259,High School,1398.986304812933,13391,1
3922,699,86128,Self-employed,0.152,30964,Car Purchase,Married,1,Renter,No Previous Loan,10789,High School,0.0,37627,1
3923,618,111409,Employed,0.205,6349,Car Purchase,Married,2,Living with Parents,No Previous Loan,3649,High School,0.0,43031,1
3924,528,0,Unemployed,0.33,12178,Home Purchase,Married,2,Renter,Paid in Full,12461,High School,0.0,0,0
3925,598,90495,Employed,0.341,111898,Car Purchase,Single,1,Renter,No Previous Loan,5496,Bachelor,0.0,33822,0
3926,778,139035,Employed,0.16,17612,Car Purchase,Divorced,3,Owner,No Previous Loan,29122,High School,0.0,67605,1
3927,753,59932,Employed,0.107,22281,Home Purchase,Single,2,Renter,Paid in Full,13067,Bachelor,0.0,28205,1
3928,743,39858,Employed,0.1,8158,Home Purchase,Single,1,Renter,No Previous Loan,4977,High School,0.0,18509,1
3929,720,63806,Employed,0.225,10967,Personal Expenses,Single,1,Renter,No Previous Loan,9353,Master or above,0.0,28712,1
3930,667,0,Unemployed,0.4,67991,Car Purchase,Married,3,Renter,No Previous Loan,36062,Master or above,0.0,0,0
3931,597,44078,Employed,0.254,16799,Personal Expenses,Single,0,Renter,No Previous Loan,12193,Bachelor,0.0,16446,0
3932,677,74510,Employed,0.1,13972,Personal Expenses,Married,2,Renter,No Previous Loan,15988,Bachelor,0.0,31527,1
3933,682,26909,Employed,0.127,15115,Personal Expenses,Single,0,Living with Parents,No Previous Loan,2265,Bachelor,0.0,11469,1
3934,589,29147,Employed,0.138,191221,Car Purchase,Single,1,Living with Parents,No Previous Loan,35605,Bachelor,0.0,10729,0
3935,484,60581,Employed,0.118,15609,Personal Expenses,Single,0,Renter,No Previous Loan,3242,High School,0.0,18325,1
3936,686,59334,Employed,0.161,6540,Home Purchase,Married,1,Renter,No Previous Loan,3772,Master or above,0.0,25439,1
3937,517,71244,Employed,0.237,7788,Education,Single,2,Renter,Defaulted,11260,Master or above,13982.854838938296,9037,1
3938,398,153232,Employed,0.268,32746,Car Purchase,Married,2,Renter,Defaulted,14354,Bachelor,98081.75049657619,0,0
3939,482,63218,Employed,0.309,3595,Education,Married,2,Renter,Defaulted,1858,High School,16565.388460463684,2479,0
3940,668,80917,Self-employed,0.252,23538,Personal Expenses,Married,1,Owner,No Previous Loan,24153,Bachelor,0.0,33782,1
3941,587,36839,Self-employed,0.1,7273,Education,Married,4,Renter,No Previous Loan,2647,Master or above,0.0,13515,0
3942,759,88085,Employed,0.1,2337,Education,Divorced,2,Renter,Paid in Full,4148,Bachelor,0.0,41785,1
3943,569,46115,Employed,0.184,5629,Home Purchase,Single,0,Renter,Defaulted,48651,High School,81498.62312335554,0,0
3944,625,62181,Employed,0.215,15418,Education,Single,2,Renter,No Previous Loan,17485,Master or above,0.0,24289,1
3945,772,56821,Employed,0.286,60534,Car Purchase,Single,2,Renter,No Previous Loan,5016,High School,0.0,27416,1
3946,800,100567,Employed,0.204,37389,Car Purchase,Married,1,Owner,Paid in Full,9620,Bachelor,0.0,50283,1
3947,768,31166,Employed,0.205,11182,Car Purchase,Single,2,Renter,No Previous Loan,5564,Master or above,0.0,14959,1
3948,616,19158,Employed,0.224,39655,Car Purchase,Married,2,Living with Parents,No Previous Loan,9622,High School,0.0,7375,0
3949,676,53926,Employed,0.174,10498,Car Purchase,Single,1,Renter,No Previous Loan,8553,High School,0.0,22783,0
3950,742,75838,Employed,0.209,3460,Education,Single,0,Living with Parents,No Previous Loan,15582,Master or above,0.0,35169,1
3951,800,64746,Self-employed,0.313,15319,Education,Married,1,Owner,Paid in Full,6440,High School,0.0,32373,1
3952,508,0,Unemployed,0.192,3327,Home Purchase,Married,4,Renter,No Previous Loan,5725,Bachelor,0.0,0,0
3953,656,74666,Employed,0.197,33097,Home Purchase,Married,1,Renter,No Previous Loan,13646,Bachelor,0.0,30613,1
3954,744,45259,Employed,0.197,33579,Education,Single,2,Renter,Paid in Full,3780,Bachelor,0.0,21045,1
3955,749,18758,Self-employed,0.33,6221,Personal Expenses,Married,1,Renter,Paid in Full,9394,Bachelor,0.0,8781,0
3956,691,0,Unemployed,0.1,17350,Home Purchase,Married,3,Owner,No Previous Loan,4040,High School,0.0,0,0
3957,581,100315,Employed,0.378,17186,Education,Married,3,Renter,No Previous Loan,4321,High School,0.0,36426,0
3958,701,49319,Employed,0.1,35874,Personal Expenses,Single,1,Renter,Paid in Full,15162,High School,0.0,21607,1
3959,800,60855,Employed,0.135,4318,Home Purchase,Married,2,Owner,Paid in Full,6924,Bachelor,1652.2261554272184,28775,1
3960,694,74071,Employed,0.274,27317,Home Purchase,Single,2,Renter,No Previous Loan,42180,Bachelor,0.0,32128,1
3961,666,36114,Employed,0.303,4019,Personal Expenses,Divorced,2,Owner,Defaulted,3692,High School,34283.09184380099,0,0
3962,709,81937,Employed,0.1,32630,Home Purchase,Single,1,Renter,No Previous Loan,23520,High School,0.0,36308,1
3963,687,136034,Employed,0.1,43412,Education,Married,1,Owner,No Previous Loan,3712,High School,0.0,58409,1
3964,800,55033,Employed,0.228,7678,Education,Married,2,Renter,No Previous Loan,705,Bachelor,0.0,27516,1
3965,771,34117,Self-employed,0.4,50763,Home Purchase,Single,0,Owner,Paid in Full,26000,High School,0.0,16440,0
3966,684,58034,Employed,0.325,3108,Home Purchase,Married,4,Renter,Paid in Full,5114,High School,544.654915816331,24264,1
3967,733,19730,Employed,0.175,45043,Education,Married,3,Renter,Paid in Full,16732,Bachelor,0.0,9038,1
3968,800,71008,Employed,0.1,63212,Personal Expenses,Married,3,Renter,Paid in Full,3616,Bachelor,0.0,35504,1
3969,300,75224,Employed,0.208,21197,Home Purchase,Single,1,Renter,Defaulted,5752,Bachelor,49300.22782004041,0,0
3970,739,0,Unemployed,0.236,12336,Education,Married,2,Renter,Paid in Full,15051,Master or above,737.7189380592278,0,0
3971,634,54453,Employed,0.162,20500,Education,Married,2,Renter,Paid in Full,5229,Bachelor,0.0,21577,0
3972,800,73595,Employed,0.115,8201,Car Purchase,Single,2,Renter,No Previous Loan,38128,High School,0.0,36797,1
3973,640,39005,Self-employed,0.216,206991,Education,Married,1,Owner,No Previous Loan,13632,High School,0.0,15602,0
3974,661,50205,Employed,0.106,8343,Home Purchase,Married,1,Living with Parents,No Previous Loan,5372,Bachelor,0.0,20740,0
3975,681,0,Unemployed,0.387,56005,Car Purchase,Married,1,Renter,Paid in Full,8425,Bachelor,317.8726236865789,0,0
3976,686,54431,Employed,0.352,7147,Education,Single,1,Living with Parents,Paid in Full,5344,Bachelor,0.0,23337,1
3977,800,51505,Employed,0.266,74058,Car Purchase,Married,2,Owner,No Previous Loan,15248,High School,0.0,25752,1
3978,733,69682,Employed,0.209,112210,Car Purchase,Single,1,Renter,Paid in Full,22561,High School,576.0209424396926,31347,1
3979,621,43927,Employed,0.134,22066,Personal Expenses,Married,2,Renter,No Previous Loan,28072,Master or above,0.0,17049,0
3980,679,62553,Self-employed,0.198,19979,Education,Married,1,Renter,Paid in Full,10476,Bachelor,0.0,26545,0
3981,596,50787,Self-employed,0.364,5763,Education,Single,1,Renter,Paid in Full,8190,High School,0.0,18918,0
3982,659,50835,Employed,0.287,5116,Personal Expenses,Single,1,Owner,No Previous Loan,51910,Bachelor,0.0,20937,1
3983,740,62459,Employed,0.22,20205,Personal Expenses,Single,0,Renter,No Previous Loan,16659,Bachelor,0.0,28887,1
3984,640,61228,Self-employed,0.292,64472,Education,Single,0,Renter,No Previous Loan,13897,Bachelor,0.0,24491,0
3985,664,0,Unemployed,0.255,8669,Car Purchase,Single,2,Renter,Paid in Full,7090,High School,0.0,0,0
3986,800,56487,Employed,0.24,136452,Personal Expenses,Married,1,Owner,Paid in Full,6645,Master or above,0.0,28243,1
3987,718,50370,Employed,0.298,8149,Home Purchase,Married,2,Owner,Paid in Full,4581,High School,0.0,22603,1
3988,632,54813,Employed,0.252,18867,Education,Married,1,Renter,Paid in Full,17072,High School,0.0,21651,0
3989,800,41972,Self-employed,0.286,18917,Education,Single,0,Renter,Paid in Full,15987,High School,0.0,20986,0
3990,772,50118,Employed,0.216,13551,Personal Expenses,Single,0,Renter,No Previous Loan,3673,Master or above,0.0,24181,1
3991,725,165657,Employed,0.175,1942,Personal Expenses,Single,2,Renter,No Previous Loan,49811,Master or above,0.0,75063,1
3992,602,38015,Self-employed,0.145,8076,Personal Expenses,Married,1,Renter,No Previous Loan,12483,Master or above,0.0,14303,0
3993,651,52196,Employed,0.133,18314,Car Purchase,Married,2,Renter,No Previous Loan,25958,Bachelor,0.0,21237,0
3994,800,49432,Employed,0.1,13627,Education,Married,2,Renter,Paid in Full,2032,Bachelor,0.0,24716,1
3995,800,53024,Employed,0.109,28339,Car Purchase,Single,0,Renter,Paid in Full,4686,Bachelor,786.5235549736759,25725,1
3996,800,50842,Employed,0.106,31972,Personal Expenses,Single,1,Renter,Paid in Full,10511,High School,0.0,25421,1
3997,687,68990,Employed,0.149,11798,Personal Expenses,Married,3,Renter,Defaulted,8912,High School,31761.97460681155,0,1
3998,800,25514,Employed,0.356,5729,Personal Expenses,Single,0,Renter,Paid in Full,3648,Master or above,0.0,12757,1
3999,718,100779,Employed,0.184,70553,Home Purchase,Single,0,Renter,No Previous Loan,2500,Master or above,0.0,45224,1
4000,682,82321,Employed,0.224,3867,Car Purchase,Single,2,Renter,No Previous Loan,12728,Bachelor,0.0,35089,1
4001,648,32230,Self-employed,0.227,8270,Education,Married,1,Living with Parents,Paid in Full,2376,Bachelor,0.0,13053,0
4002,703,19294,Self-employed,0.359,6411,Home Purchase,Divorced,1,Living with Parents,Paid in Full,9331,Bachelor,0.0,8477,0
4003,647,36811,Employed,0.142,31642,Car Purchase,Single,2,Living with Parents,Paid in Full,862,High School,0.0,14885,0
4004,509,53144,Employed,0.178,55984,Home Purchase,Single,1,Living with Parents,Defaulted,23151,High School,7282.37308281253,9624,0
4005,594,217999,Employed,0.189,12608,Personal Expenses,Married,4,Renter,No Previous Loan,3284,Bachelor,0.0,80932,1
4006,762,78725,Employed,0.314,18874,Personal Expenses,Married,2,Living with Parents,No Previous Loan,7061,Bachelor,0.0,37492,1
4007,669,24301,Employed,0.334,23030,Education,Married,2,Renter,No Previous Loan,5758,Master or above,0.0,10160,0
4008,693,42500,Employed,0.247,91108,Home Purchase,Married,4,Living with Parents,No Previous Loan,12277,Bachelor,0.0,18407,1
4009,800,58424,Employed,0.323,2545,Car Purchase,Married,1,Renter,Paid in Full,1971,Bachelor,0.0,29212,1
4010,582,68114,Employed,0.218,31572,Home Purchase,Single,0,Living with Parents,No Previous Loan,5097,Master or above,0.0,24776,1
4011,680,31092,Employed,0.183,21858,Education,Married,3,Living with Parents,Defaulted,6552,High School,101163.4245314449,0,0
4012,635,56083,Employed,0.318,10352,Personal Expenses,Married,1,Living with Parents,No Previous Loan,10470,High School,0.0,22257,0
4013,524,41910,Employed,0.249,20785,Home Purchase,Married,1,Living with Parents,No Previous Loan,47979,Master or above,0.0,13725,0
4014,637,34551,Employed,0.126,31465,Home Purchase,Married,3,Renter,Paid in Full,6858,High School,0.0,13755,0
4015,453,68315,Employed,0.3,26875,Home Purchase,Single,3,Living with Parents,Defaulted,11417,High School,111589.63862677256,0,0
4016,800,88347,Self-employed,0.179,129872,Personal Expenses,Married,3,Owner,Paid in Full,3828,Bachelor,0.0,44173,1
4017,635,91365,Self-employed,0.167,17039,Personal Expenses,Married,2,Renter,No Previous Loan,54321,Bachelor,0.0,36260,0
4018,715,79960,Employed,0.289,15409,Personal Expenses,Married,1,Renter,No Previous Loan,3222,Bachelor,0.0,35732,1
4019,495,46789,Employed,0.191,12512,Education,Married,3,Renter,Defaulted,14159,High School,1923.2307848874366,12552,0
4020,800,85765,Employed,0.239,26076,Home Purchase,Single,0,Renter,No Previous Loan,31904,High School,0.0,42882,1
4021,650,70026,Employed,0.266,14526,Personal Expenses,Married,2,Renter,No Previous Loan,4849,Master or above,0.0,28448,1
4022,570,64155,Employed,0.122,15199,Home Purchase,Single,0,Renter,No Previous Loan,3337,High School,0.0,22855,1
4023,548,44189,Self-employed,0.238,15269,Car Purchase,Single,0,Renter,No Previous Loan,13699,Master or above,0.0,15134,0
4024,728,46801,Employed,0.335,13110,Car Purchase,Married,3,Renter,Defaulted,20554,Bachelor,90705.51826716191,0,0
4025,550,62258,Self-employed,0.104,8161,Car Purchase,Single,0,Renter,Paid in Full,3519,Master or above,0.0,21401,1
4026,800,203218,Employed,0.245,22786,Car Purchase,Married,2,Owner,No Previous Loan,13204,High School,0.0,101609,1
4027,592,69753,Employed,0.117,11279,Personal Expenses,Divorced,1,Renter,No Previous Loan,2768,Bachelor,0.0,25808,1
4028,578,44201,Self-employed,0.302,27708,Home Purchase,Single,0,Living with Parents,Paid in Full,3161,Master or above,0.0,15967,0
4029,663,39573,Employed,0.301,16757,Personal Expenses,Single,0,Living with Parents,No Previous Loan,4932,Bachelor,0.0,16398,0
4030,586,46920,Employed,0.165,10190,Personal Expenses,Married,1,Renter,No Previous Loan,7411,High School,0.0,17184,0
4031,792,178215,Employed,0.4,71727,Car Purchase,Single,0,Owner,No Previous Loan,501,High School,0.0,88216,1
4032,704,49142,Employed,0.311,13541,Home Purchase,Married,2,Owner,Paid in Full,7034,High School,0.0,21622,1
4033,707,0,Unemployed,0.271,27962,Education,Single,3,Living with Parents,Paid in Full,14495,High School,0.0,0,0
4034,800,49718,Employed,0.265,7448,Personal Expenses,Married,1,Living with Parents,Paid in Full,15426,Master or above,0.0,24859,1
4035,560,0,Unemployed,0.298,1978,Home Purchase,Single,0,Renter,No Previous Loan,35254,Bachelor,0.0,0,0
4036,716,0,Unemployed,0.1,8508,Personal Expenses,Married,2,Renter,No Previous Loan,1709,Bachelor,0.0,0,0
4037,573,45077,Self-employed,0.219,1769,Education,Married,3,Living with Parents,Paid in Full,7155,Bachelor,0.0,16143,0
4038,728,43544,Employed,0.238,11836,Personal Expenses,Married,2,Owner,Paid in Full,76889,Bachelor,0.0,19812,1
4039,772,137521,Employed,0.16,65150,Personal Expenses,Married,1,Renter,Paid in Full,14736,High School,0.0,66353,1
4040,571,98164,Self-employed,0.246,6066,Home Purchase,Single,1,Living with Parents,Defaulted,7796,Bachelor,8706.251202749776,26326,0
4041,546,89092,Employed,0.323,1825,Car Purchase,Single,3,Living with Parents,No Previous Loan,12375,Bachelor,0.0,30402,1
4042,687,88941,Employed,0.158,67242,Home Purchase,Single,1,Renter,No Previous Loan,13758,High School,0.0,38189,1
4043,640,75499,Employed,0.195,9324,Home Purchase,Married,2,Living with Parents,No Previous Loan,254133,Bachelor,0.0,30199,1
4044,774,164552,Employed,0.118,14765,Personal Expenses,Married,3,Renter,Paid in Full,3141,Bachelor,0.0,79602,1
4045,800,61331,Employed,0.1,32994,Personal Expenses,Married,1,Renter,No Previous Loan,3966,High School,0.0,30665,1
4046,723,80075,Employed,0.278,25310,Personal Expenses,Married,1,Owner,No Previous Loan,9727,Bachelor,0.0,36183,1
4047,764,29046,Employed,0.197,31771,Home Purchase,Married,6,Owner,Paid in Full,11781,High School,0.0,13869,1
4048,637,39720,Self-employed,0.205,36909,Home Purchase,Married,1,Renter,No Previous Loan,43427,High School,0.0,15813,0
4049,610,32915,Employed,0.101,2616,Education,Married,1,Renter,Paid in Full,4058,High School,0.0,12548,0
4050,687,0,Unemployed,0.181,3646,Home Purchase,Divorced,1,Living with Parents,No Previous Loan,2205,High School,0.0,0,0
4051,778,16744,Employed,0.31,48386,Home Purchase,Single,0,Living with Parents,No Previous Loan,2022,High School,0.0,8141,1
4052,800,49067,Self-employed,0.2,6864,Personal Expenses,Single,1,Owner,Paid in Full,2022,High School,0.0,24533,1
4053,737,13430,Employed,0.203,7655,Personal Expenses,Married,2,Renter,Paid in Full,2583,High School,0.0,6186,1
4054,621,39594,Self-employed,0.221,4242,Personal Expenses,Married,5,Renter,No Previous Loan,24446,Bachelor,0.0,15367,0
4055,797,46939,Employed,0.1,10005,Car Purchase,Single,0,Renter,No Previous Loan,11715,Bachelor,0.0,23381,1
4056,608,119914,Self-employed,0.262,10577,Education,Divorced,2,Owner,No Previous Loan,24043,Master or above,0.0,45567,1
4057,777,73160,Employed,0.1,5874,Personal Expenses,Married,2,Renter,Paid in Full,4710,Bachelor,1078.90185430678,34449,1
4058,784,39558,Self-employed,0.106,5232,Home Purchase,Single,1,Renter,Paid in Full,22016,Master or above,0.0,19383,1
4059,607,0,Unemployed,0.1,20629,Personal Expenses,Married,4,Renter,No Previous Loan,3225,High School,0.0,0,0
4060,675,60537,Employed,0.182,6688,Home Purchase,Married,2,Living with Parents,No Previous Loan,4909,Bachelor,0.0,25539,1
4061,734,61137,Employed,0.165,8180,Personal Expenses,Single,0,Owner,Paid in Full,21568,High School,0.0,28046,1
4062,753,32884,Self-employed,0.2,1685,Personal Expenses,Married,4,Renter,No Previous Loan,490,Bachelor,0.0,15476,1
4063,686,36574,Employed,0.109,104193,Car Purchase,Divorced,0,Living with Parents,Paid in Full,23115,High School,0.0,15681,1
